group,key,n,CAS@0.05,CAS@0.10,CAS@0.20,mean_L2,pose_L2,xyz_L2,rot_L2,gripper_abs
attack_form,arrow_left,1400,0.7528571428571429,0.4014285714285714,0.12857142857142856,0.14648537588488822,0.1099207035343675,0.1056261334107038,0.02177612722006877,0.0423395730514327
attack_form,arrow_right,1400,0.7535714285714286,0.41214285714285714,0.1392857142857143,0.14065156401214646,0.11349242110772406,0.10886413287389211,0.022356156702416682,0.032385725047465105
attack_form,arrow_target,1400,0.7507142857142857,0.3892857142857143,0.13071428571428573,0.14265096326185223,0.11060189918037586,0.10571015400325028,0.02323556851563218,0.03803547786333441
attack_form,arrow_up,1400,0.7407142857142858,0.39357142857142857,0.13,0.13736401290904068,0.10879199232562005,0.10402812403059732,0.022578310445872312,0.03371623006833201
attack_form,barcode,1400,0.8728571428571429,0.57,0.24285714285714285,0.18058965820932174,0.15534508921680554,0.14928696946580988,0.030794741461151257,0.03112411090989995
attack_form,fiducial_marker,1400,0.86,0.5464285714285714,0.22214285714285714,0.1783913072375909,0.14511452837836458,0.1386750084488267,0.030156263788610745,0.03965830228221705
attack_form,long_arrow_down,1400,0.7892857142857143,0.4442857142857143,0.15142857142857144,0.15265226700127166,0.12000699370956637,0.1153252449046082,0.023230339323714128,0.03814392969410976
attack_form,long_arrow_left,1400,0.7714285714285715,0.4085714285714286,0.12857142857142856,0.1360365546485977,0.11365078666019124,0.10882900514326806,0.02338850810213692,0.026277195629848284
attack_form,long_arrow_right,1400,0.7421428571428571,0.4007142857142857,0.14142857142857143,0.14137510478190635,0.11191165372742062,0.1073795658450847,0.022384201796402818,0.03563322492129126
attack_form,long_arrow_up,1400,0.7928571428571428,0.42142857142857143,0.14857142857142858,0.15338034043630042,0.11870682595859354,0.11390526646749821,0.023872474961515202,0.04091896974632424
attack_form,no_entry,1400,0.8228571428571428,0.48928571428571427,0.2007142857142857,0.16970331653111442,0.137207742273259,0.13112512850483554,0.02760083980748392,0.03961221895042302
attack_form,qr_like,1400,0.8464285714285714,0.54,0.2,0.1689748584007143,0.14028152075696682,0.1342837919360243,0.028416155754124022,0.0352896398779254
attack_form,solid_patch,1400,0.8007142857142857,0.4742857142857143,0.1742857142857143,0.15164727388987195,0.12698378809539748,0.12134707338488493,0.026817413910722055,0.029616447529395955
attack_form,target_bullseye,1400,0.8007142857142857,0.45571428571428574,0.15714285714285714,0.14691688410097323,0.1252833580302453,0.12026067870648859,0.025231543490316942,0.02666710365301036
attack_form,target_crosshair,1400,0.8042857142857143,0.4692857142857143,0.17357142857142857,0.15918768876195968,0.12993294124861063,0.1243579868303606,0.02582930721372238,0.036735501146005434
attack_form,text_conflict_instruction,2800,0.8767857142857143,0.6096428571428572,0.29285714285714287,0.20464217273982085,0.1717946054290573,0.1656053025998071,0.03122166504302834,0.04000326106625329
attack_form,text_task_instruction,5600,0.9098214285714286,0.6967857142857142,0.3925,0.2860586627777818,0.20704987878664124,0.19907357077753618,0.037334724294254926,0.09594514462342553
attack_form,texture_hatch,1400,0.8907142857142857,0.6064285714285714,0.28214285714285714,0.19509492905792877,0.16485553421021856,0.1573931883371782,0.03423369508198486,0.03710776541489598
attack_form,texture_mosaic,1400,0.865,0.5328571428571428,0.215,0.17492430628123729,0.14593428398878727,0.1396415193757421,0.03027179685999224,0.03541832357626322
attack_form,warning_triangle,1400,0.7971428571428572,0.43785714285714283,0.15571428571428572,0.15494753120945204,0.12020164223284027,0.11500322688637758,0.024853030526669657,0.040915488678186125
overall,all,35000,0.8247714285714286,0.5131142857142857,0.2171142857142857,0.1813465172742894,0.14354015493486,0.137695979242651,0.028086593376256533,0.04559964050577643
text_attack_mode,text_conflict_instruction,2800,0.8767857142857143,0.6096428571428572,0.29285714285714287,0.20464217273982085,0.1717946054290573,0.1656053025998071,0.03122166504302834,0.04000326106625329
text_attack_mode,text_noise_garbage_language,2800,0.905,0.6878571428571428,0.3889285714285714,0.2979715313829951,0.2059607239975861,0.19821939982154596,0.036180021198408414,0.11062569434001464
text_attack_mode,text_read_empty_language,2800,0.9146428571428571,0.7057142857142857,0.3960714285714286,0.27414579417256874,0.2081390335756969,0.19992774173352684,0.03848942739010152,0.08126459490683678
