group,key,n,CAS@0.05,CAS@0.10,CAS@0.20,mean_L2,pose_L2,xyz_L2,rot_L2,gripper_abs
artifact_position,bottom,5000,0.8698,0.7544,0.5346,0.31585492874827625,0.28233527748916615,0.26029030864736036,0.061902399918698336,0.044442352941176606
artifact_position,center,5000,0.9466,0.8888,0.7216,0.4650284630061681,0.38918124450902125,0.3698247926814958,0.0747925180888658,0.11053647058823565
artifact_position,left,5000,0.8002,0.6886,0.5076,0.3096037367551464,0.2696012304488405,0.2473586571256394,0.05895587757904916,0.05444705882352957
artifact_position,rand_a,5000,0.869,0.767,0.591,0.3682960005682924,0.31468715153111854,0.2947817622896128,0.0645025132223823,0.07684549019607868
artifact_position,rand_b,5000,0.8754,0.7754,0.5834,0.366014726190675,0.3161887220181686,0.2951857663168664,0.06448718998959314,0.06985882352941199
artifact_position,right,5000,0.8354,0.7196,0.5284,0.3304017086934937,0.2846947614045989,0.26275758006714406,0.06139895705797128,0.06374901960784334
artifact_position,top,5000,0.9192,0.8298,0.647,0.4007490947097685,0.3508751346641345,0.33106465719808315,0.07112097934861049,0.07258823529411787
attack_family,F1_sensor_artifact,4200,0.8733333333333333,0.7723809523809524,0.5852380952380952,0.3664869638101247,0.32214357292985935,0.3013083376556584,0.06418150287533265,0.06142483660130738
attack_family,F2_geometric_symbol,18200,0.8108241758241759,0.6812637362637363,0.47417582417582416,0.289302475804485,0.25738256182713887,0.2372796742209771,0.05236081725304108,0.04174186597716024
attack_family,F3_machine_marker,4200,0.929047619047619,0.8445238095238096,0.6404761904761904,0.39198341089439925,0.3448769328639856,0.32396381952935543,0.06850510023852595,0.0647450980392159
attack_family,F4_visual_text_injection,8400,0.9822619047619048,0.9438095238095238,0.8083333333333333,0.515340792852198,0.4228534358020434,0.4002005345990683,0.09232756773122446,0.13960971055088747
attack_form,arrow_down,1400,0.785,0.6478571428571429,0.4328571428571429,0.2613795402425031,0.23534213421972652,0.21575917110536816,0.04825582446637672,0.033439775910364185
attack_form,arrow_left,1400,0.7835714285714286,0.6528571428571428,0.43857142857142856,0.2665736861909517,0.23556825669329953,0.2149683804548208,0.0484481784694416,0.039131652661064484
attack_form,arrow_right,1400,0.7678571428571429,0.62,0.41928571428571426,0.25243174237023364,0.22701043832528134,0.20694517516451652,0.04794478045699192,0.033439775910364185
attack_form,arrow_target,1400,0.7985714285714286,0.66,0.435,0.25853180758264177,0.23173739335942736,0.21202638512665414,0.04801131398313894,0.033439775910364185
attack_form,arrow_up,1400,0.7721428571428571,0.6371428571428571,0.42928571428571427,0.25542557089043266,0.22720101569576392,0.2076076330511234,0.04661306306660835,0.03486274509803926
attack_form,barcode,1400,0.9357142857142857,0.8514285714285714,0.6414285714285715,0.3958830732595628,0.347898958931548,0.3272308508543886,0.06885997737986123,0.0661680672268909
attack_form,fiducial_marker,1400,0.9314285714285714,0.8521428571428571,0.6442857142857142,0.3993296984941385,0.34975988982964223,0.3291862424398089,0.06984968196023143,0.06830252100840352
attack_form,long_arrow_down,1400,0.7671428571428571,0.6357142857142857,0.4357142857142857,0.2733918032585069,0.24638369926853398,0.2260353216953069,0.05009917445298417,0.03597759103641461
attack_form,long_arrow_left,1400,0.7885714285714286,0.6564285714285715,0.45714285714285713,0.28234692447965704,0.25920472968921365,0.2401320287147552,0.049462974794660906,0.030593837535014035
attack_form,long_arrow_right,1400,0.7707142857142857,0.6421428571428571,0.445,0.274677838899231,0.2417785312506734,0.22189804112490077,0.04918316597836276,0.04197759103641464
attack_form,long_arrow_up,1400,0.7835714285714286,0.6407142857142857,0.445,0.2750817630334933,0.24641936186583518,0.227660029293526,0.04825041707158587,0.038369747899159715
attack_form,no_entry,1400,0.9064285714285715,0.8007142857142857,0.5957142857142858,0.3648650233396407,0.3189704672781721,0.2974980031035598,0.06498963961079252,0.06189915966386569
attack_form,qr_like,1400,0.92,0.83,0.6357142857142857,0.38073746092949573,0.3369719498307649,0.31547436529386746,0.06680564137548617,0.059764705882353074
attack_form,solid_patch,1400,0.7842857142857143,0.6628571428571428,0.465,0.2947515569334285,0.25953868409335523,0.23838758645729213,0.05345724988662697,0.047669467787114936
attack_form,target_bullseye,1400,0.8564285714285714,0.7442857142857143,0.5278571428571428,0.32022876460861444,0.2809000572388213,0.2591827675959146,0.05987717271197635,0.05122689075630262
attack_form,target_crosshair,1400,0.8828571428571429,0.7535714285714286,0.55,0.34104100420714195,0.30334383750600397,0.28447416485689114,0.05948131392244292,0.050655462184874045
attack_form,text_conflict_instruction,2800,0.9725,0.9253571428571429,0.7803571428571429,0.5163666898134304,0.44133939666578736,0.4208566175080553,0.08320204711898443,0.11170308123249335
attack_form,text_task_instruction,5600,0.9871428571428571,0.9530357142857143,0.8223214285714285,0.5148278443715812,0.41361045537017294,0.389872493144577,0.09689032803734492,0.15356302521008455
attack_form,texture_hatch,1400,0.9621428571428572,0.8978571428571429,0.73,0.4633215415065369,0.4009214840167333,0.380558629198916,0.07794593099496859,0.0903585434173672
