group,key,n,CAS@0.05,CAS@0.10,CAS@0.20,mean_L2,pose_L2,xyz_L2,rot_L2,gripper_abs
artifact_position,bottom,5000,0.6526,0.3214,0.1302,0.11628304313706506,0.09913031091813893,0.09627526966668722,0.017898453091117022,0.03384979124069214
artifact_position,center,5000,0.8566,0.572,0.2452,0.1655486534433507,0.14951260174584757,0.14525482142476087,0.025868059365607484,0.033272433224320414
artifact_position,left,5000,0.7772,0.4358,0.1664,0.13242042926386038,0.11913179243682362,0.11548886829668473,0.02221062761213023,0.029165316200256346
artifact_position,rand_a,5000,0.789,0.4722,0.1894,0.1432616729696249,0.12659563542426908,0.12287490222139553,0.022819560147628863,0.03391349518150091
artifact_position,rand_b,5000,0.7882,0.4834,0.1936,0.14483225272239153,0.12765550123715574,0.1239502227238123,0.02287115219293205,0.03442977302074433
artifact_position,right,5000,0.7548,0.4254,0.1658,0.13538204156243525,0.11821928585472183,0.11462449941639168,0.021466561662091415,0.034187303096055985
artifact_position,top,5000,0.8226,0.5186,0.195,0.13851586398559365,0.1272679579994411,0.12335493513637875,0.023735472823102136,0.02468979498744011
attack_family,F1_sensor_artifact,4200,0.8092857142857143,0.4716666666666667,0.18023809523809523,0.1377975638269587,0.12815884524362553,0.12414956898474318,0.023348654561744522,0.022041527515365963
attack_family,F2_geometric_symbol,18200,0.7445604395604396,0.3993406593406593,0.12664835164835164,0.11538506460379402,0.10446764959330512,0.10122850773143946,0.019354703880428356,0.02230826244781633
attack_family,F3_machine_marker,4200,0.8647619047619047,0.5511904761904762,0.21333333333333335,0.1496203102175489,0.13942818893191392,0.13535507522665174,0.02498892243212071,0.02460573496563094
attack_family,F4_visual_text_injection,8400,0.7884523809523809,0.5452380952380952,0.29404761904761906,0.18738768317209684,0.15623674546983035,0.15200467238458368,0.027270952437501772,0.06138222092673892
attack_form,arrow_down,1400,0.735,0.38357142857142856,0.11357142857142857,0.11020987267990173,0.09955272185669078,0.0966019449768439,0.01831661160579419,0.021336581451552254
attack_form,arrow_left,1400,0.6764285714285714,0.3314285714285714,0.09142857142857143,0.10029182506333414,0.09142628802351345,0.08847874905977902,0.017004700637772752,0.01835557724748339
attack_form,arrow_right,1400,0.6864285714285714,0.35,0.11,0.10276526712665925,0.09409728202871812,0.0913606944650576,0.01734398171876995,0.01833235698086875
attack_form,arrow_target,1400,0.7035714285714286,0.3628571428571429,0.11285714285714285,0.10820492917243718,0.09576719194738627,0.09280384388512887,0.017922823154259505,0.023485974669456483
attack_form,arrow_up,1400,0.7164285714285714,0.3607142857142857,0.09785714285714285,0.10555108550528354,0.0945331715964647,0.09146206374870325,0.018388799736736648,0.021510964376585825
attack_form,barcode,1400,0.8871428571428571,0.5914285714285714,0.24214285714285713,0.16035074479575423,0.14889928680367412,0.14466458447498315,0.025985924338954056,0.0263183673790523
attack_form,fiducial_marker,1400,0.8514285714285714,0.5328571428571428,0.21071428571428572,0.1454585675428991,0.13673338253422365,0.1327666787693055,0.02450333725097444,0.0226957097862448
attack_form,long_arrow_down,1400,0.76,0.40785714285714286,0.12928571428571428,0.11840669358007584,0.10450627956276899,0.10101583914756103,0.01971249014665231,0.025452731720038823
attack_form,long_arrow_left,1400,0.6835714285714286,0.3171428571428571,0.09357142857142857,0.09755322496517752,0.08881025308210547,0.08586020383313524,0.017117983479668673,0.017991095148026943
attack_form,long_arrow_right,1400,0.6835714285714286,0.33,0.08857142857142856,0.09939041020559096,0.0910274641188179,0.08802596004969336,0.017107726052262965,0.017414811083248685
attack_form,long_arrow_up,1400,0.77,0.4085714285714286,0.12571428571428572,0.11661654378348166,0.10615244652066876,0.10257831279001356,0.020051982937637703,0.021423091547829766
attack_form,no_entry,1400,0.8514285714285714,0.535,0.18785714285714286,0.14415642275422985,0.13014048185021376,0.12652415342853204,0.022966988836631563,0.0295483373105526
attack_form,qr_like,1400,0.8557142857142858,0.5292857142857142,0.18714285714285714,0.14305161831399174,0.1326518974578431,0.12863396243566663,0.02447750570643344,0.02480312773159572
attack_form,solid_patch,1400,0.7164285714285714,0.3335714285714286,0.10285714285714286,0.10466016230884585,0.09663853425664294,0.09349655877088929,0.018552492702647323,0.01823580469403948
attack_form,target_bullseye,1400,0.7978571428571428,0.4564285714285714,0.15785714285714286,0.12993920692627156,0.12003261083331941,0.11616719939488437,0.0223886998498746,0.022529984882899694
attack_form,target_crosshair,1400,0.7685714285714286,0.42142857142857143,0.13857142857142857,0.12223611181748541,0.11225701797584343,0.10879975170028795,0.02084034642753137,0.02218415392296655
attack_form,text_conflict_instruction,2800,0.7807142857142857,0.5392857142857143,0.2935714285714286,0.18462040989182363,0.1601564040477725,0.15552611116364057,0.02718792302496032,0.051072106616837636
attack_form,text_task_instruction,5600,0.7923214285714286,0.5482142857142858,0.29428571428571426,0.18877131981223388,0.15427691618085962,0.15024395299505422,0.02731246714377258,0.06653727808168956
attack_form,texture_hatch,1400,0.9128571428571428,0.63,0.28714285714285714,0.18256769735102624,0.17060872748138423,0.16559285321835157,0.029251483809673597,0.02821830817631313
attack_form,texture_mosaic,1400,0.7985714285714286,0.4514285714285714,0.15071428571428572,0.12616483182100402,0.117229273992849,0.11335929496498805,0.022241987172912737,0.019670469675745282
attack_form,warning_triangle,1400,0.8464285714285714,0.5264285714285715,0.1992857142857143,0.14468424626939477,0.1297762353164515,0.1262918840290915,0.022448015861976905,0.03044175148010254
overall,all,35000,0.7772857142857142,0.46125714285714287,0.18365714285714285,0.13946342244061688,0.12393044080234168,0.12026050269801741,0.022409983842087068,0.031929700993001464
text_attack_mode,text_conflict_instruction,2800,0.7807142857142857,0.5392857142857143,0.2935714285714286,0.18462040989182363,0.1601564040477725,0.15552611116364057,0.02718792302496032,0.051072106616837636
text_attack_mode,text_noise_garbage_language,2800,0.78,0.5392857142857143,0.28785714285714287,0.18739101438293232,0.15405183412774567,0.1502386179992579,0.02660243140275539,0.06427705381597791
text_attack_mode,text_read_empty_language,2800,0.8046428571428571,0.5571428571428572,0.3007142857142857,0.19015162524153548,0.1545019982339742,0.1502492879908514,0.028022502884789854,0.06879750234740122
