group,key,n,CAS@0.05,CAS@0.10,CAS@0.20,mean_L2,pose_L2,xyz_L2,rot_L2,gripper_abs
attack_form,target_bullseye,1400,0.6121428571428571,0.2542857142857143,0.06285714285714286,0.08755304558153872,0.07879510596062021,0.07652064226374265,0.013864470392970025,0.014591740199497768
attack_form,target_crosshair,1400,0.6214285714285714,0.2757142857142857,0.06785714285714285,0.09264889956238218,0.0804493541276785,0.0779927257516391,0.0144123162322917,0.018218287059238978
attack_form,text_conflict_instruction,2800,0.6464285714285715,0.3435714285714286,0.12035714285714286,0.10566208592601335,0.0976876525864031,0.09520670667249562,0.015982922885580966,0.013759780015264239
attack_form,text_task_instruction,5600,0.6258928571428571,0.35464285714285715,0.13125,0.1111237643431689,0.09938895678232805,0.09673960738610712,0.01647028639309392,0.01860132838998522
attack_form,texture_hatch,1400,0.7828571428571428,0.4685714285714286,0.16857142857142857,0.13192137387035177,0.1230859961861883,0.12022995639442913,0.01934188022664844,0.01631635742528098
attack_form,texture_mosaic,1400,0.6335714285714286,0.265,0.075,0.0932102087388873,0.08153161682072081,0.07933524107795872,0.01396432759232026,0.017994798932756698
attack_form,warning_triangle,1400,0.6142857142857143,0.25285714285714284,0.06357142857142857,0.08916161575179547,0.0781980919338931,0.07611631864516966,0.012927130282330572,0.016850199018205916
overall,all,35000,0.5921142857142857,0.28222857142857144,0.08708571428571428,0.0939509456652031,0.08354838998118796,0.08124863874263857,0.014258217193296346,0.016380189526081085
text_attack_mode,text_conflict_instruction,2800,0.6464285714285715,0.3435714285714286,0.12035714285714286,0.10566208592601335,0.0976876525864031,0.09520670667249562,0.015982922885580966,0.013759780015264239
text_attack_mode,text_noise_garbage_language,2800,0.6107142857142858,0.3435714285714286,0.12964285714285714,0.11016076670540213,0.09778707447156916,0.09514986646194397,0.01633953309555106,0.018892608370099748
text_attack_mode,text_read_empty_language,2800,0.6410714285714286,0.3657142857142857,0.13285714285714287,0.1120867619809343,0.10099083909308688,0.09832934831027068,0.01660103969063691,0.018310048409870692
