group,key,n,CAS@0.05,CAS@0.10,CAS@0.20,mean_L2,pose_L2,xyz_L2,rot_L2,gripper_abs
attack_form,arrow_left,1400,0.9985714285714286,0.9442857142857143,0.5992857142857143,0.36274024486578216,0.25891715316834546,0.2315733701330458,0.0977663607569829,0.1274445142995422
attack_form,arrow_right,1400,0.9971428571428571,0.9314285714285714,0.6057142857142858,0.3685208273721775,0.2594845034545778,0.23097166278794592,0.09746803528369956,0.13333358201492965
attack_form,arrow_target,1400,0.9971428571428571,0.9442857142857143,0.5935714285714285,0.34853704396086854,0.2548908587034907,0.22707465310847877,0.09619418941963137,0.11618599421934798
attack_form,arrow_up,1400,0.9978571428571429,0.9492857142857143,0.6321428571428571,0.3703708617819226,0.26497581638485584,0.23694953555965287,0.0985111752540274,0.13236401896629532
attack_form,barcode,1400,0.9992857142857143,0.9571428571428572,0.6707142857142857,0.3837937706885311,0.28283459425619945,0.2546809188993262,0.10104407553774623,0.1277938900619886
attack_form,fiducial_marker,1400,0.9992857142857143,0.95,0.6571428571428571,0.3892363711429969,0.2753152377988849,0.2469343678415033,0.10069594324828171,0.1423516071022068
attack_form,long_arrow_down,1400,0.9978571428571429,0.9492857142857143,0.6221428571428571,0.3725743867367206,0.2664359468856664,0.2382626857618775,0.09813598072695766,0.13081828031289588
attack_form,long_arrow_left,1400,0.9985714285714286,0.9485714285714286,0.6178571428571429,0.3723097541178214,0.263476899125328,0.2347096852843803,0.09845829253421969,0.13620249388489428
attack_form,long_arrow_right,1400,1.0,0.9314285714285714,0.6021428571428571,0.3569128088746134,0.2543710580045047,0.22653936957420318,0.09662685441995578,0.12619058518326476
attack_form,long_arrow_up,1400,0.9978571428571429,0.9528571428571428,0.6228571428571429,0.3764153358330131,0.26666418919458673,0.23931342264585145,0.09801618781632078,0.13643783211614144
attack_form,no_entry,1400,0.9985714285714286,0.9521428571428572,0.6635714285714286,0.4066560014038446,0.2811759398703971,0.25103538295228395,0.10322462993672683,0.1541556596155625
attack_form,qr_like,1400,0.9992857142857143,0.9564285714285714,0.6528571428571428,0.38957032300018885,0.2754830343212843,0.24714572901291032,0.10050317741245117,0.14145465821195605
attack_form,solid_patch,1400,0.9985714285714286,0.95,0.6585714285714286,0.38514291718891125,0.2727781735566819,0.24323238930836913,0.10246536022502038,0.14187282728056808
attack_form,target_bullseye,1400,0.9971428571428571,0.9478571428571428,0.6414285714285715,0.3864801851257509,0.27155954917087405,0.24330195895217188,0.10009871622984771,0.14190572943822266
attack_form,target_crosshair,1400,0.9985714285714286,0.9578571428571429,0.6392857142857142,0.3917434996950356,0.27343600099161974,0.24582655931754918,0.09953050140328187,0.14463971394930453
attack_form,text_conflict_instruction,2800,0.9982142857142857,0.9639285714285715,0.7,0.4272142032454681,0.29071468297157227,0.26092869573190447,0.1049706799162418,0.16986949821739825
attack_form,text_task_instruction,5600,0.9989285714285714,0.96375,0.665,0.4081953281834296,0.27075817488950965,0.23888676231532519,0.10578909728399076,0.16908331607462684
attack_form,texture_hatch,1400,0.9992857142857143,0.9707142857142858,0.7057142857142857,0.4287471569413197,0.2992061854601631,0.27010488682292244,0.10523460420468465,0.16101820116937324
attack_form,texture_mosaic,1400,0.9992857142857143,0.9592857142857143,0.6592857142857143,0.3850199842780097,0.2832055974094663,0.2543250510176477,0.10233342845585583,0.128716567681827
attack_form,warning_triangle,1400,0.9992857142857143,0.95,0.6235714285714286,0.3730525256101199,0.26932235476936156,0.241840083031387,0.09764751801386728,0.12993069811877964
overall,all,35000,0.9985714285714286,0.9528857142857143,0.6444857142857143,0.38743321543715403,0.27165686905671627,0.24270146604338988,0.10086561310044932,0.14359615106903384
text_attack_mode,text_conflict_instruction,2800,0.9982142857142857,0.9639285714285715,0.7,0.4272142032454681,0.29071468297157227,0.26092869573190447,0.1049706799162418,0.16986949821739825
text_attack_mode,text_noise_garbage_language,2800,0.9985714285714286,0.9621428571428572,0.6510714285714285,0.38957599644601487,0.2643228835815267,0.2322898047309619,0.10461361538875291,0.153847363229351
text_attack_mode,text_read_empty_language,2800,0.9992857142857143,0.9653571428571428,0.6789285714285714,0.42681465992084167,0.27719346619749086,0.24548371989968878,0.10696457917922958,0.18431926891990347
